GENES,F20,F18,F22,E18,E19,F24,E23,F23,E24,F21,E20
ENSG00000210082,6.000026935302638,5.982872289164917,6.022005935849508,6.6342645842905705,6.663644032539348,6.611027320009365,6.6433753596007925,6.800565842518012,6.739241807941128,6.8216243099493,6.853767120995887
ENSG00000198886,5.634406564247012,5.57102499301595,5.741018838056195,5.821459294550223,5.783379338936816,5.936877115050567,5.852076073091519,5.749344933843781,5.676742950508152,5.816545416767997,5.919070923165624
ENSG00000198938,5.619394600426652,5.450632095088165,5.339286950867595,5.533590597930025,5.605349695385968,5.49534462730593,5.606766402987001,5.479390303891032,5.390533218438986,5.452791568766637,5.441770410358803
ENSG00000198727,5.550930741734838,5.5324823557177405,5.780772644146836,5.586212381490622,5.511946780399273,5.573814408194864,5.58992041775538,5.6852990138542925,5.5663298350658765,5.585271130704409,5.470634173646669
ENSG00000198888,5.745354102117803,5.7565427353621885,5.5486166874944285,5.542943405127264,5.50710028927683,5.626091397735274,5.618627837957593,5.510578050248537,5.63298965537963,5.519295246290307,5.46429161677183
ENSG00000132432,5.347294434705583,5.270279837055692,5.522403182816812,5.383028563194431,5.4712426767089735,5.52042370965202,5.526035197201898,5.503880360860686,5.531255982321697,5.567036097309389,5.4863167696658515
ENSG00000198712,5.183132442475066,5.229487043851141,5.329671633934626,5.150406541013737,5.153893496734514,5.259083257528767,5.183895861603544,5.166616928068956,5.291696321329398,5.328474371209202,5.2245728249854855
ENSG00000198899,5.211959669225314,5.1893698799158345,5.053203364030429,5.200806514751751,5.139964264190441,5.288512898521068,5.224930684758385,5.201771304996583,5.2589767241127685,5.129226844529259,5.356925295613256
ENSG00000198840,5.226067526888358,5.407049373197712,5.511722304592672,5.158984918183213,5.13115892553792,5.433615499678904,5.0884177863363895,5.214417606376028,5.26048743556888,5.250779884316972,5.118012703322673
ENSG00000198786,5.000763095345086,5.179691969813726,5.306869684748124,5.031624582161502,5.129388515349573,5.256783154896223,5.037027276426791,5.057279049370082,5.04014771399364,5.123508351860184,5.339056911939718
ENSG00000198763,5.0751422112313245,5.119571031340425,5.199128412550782,5.157275119734858,5.164214553157524,5.108091720052271,5.2957772710371485,5.2126207540130025,5.093279609876451,5.0188092944616045,5.342656222311105
ENSG00000269028,4.59515460252382,4.3494785486231775,5.018643375822824,4.717308181898293,4.691820078913325,4.729337714218626,4.701885748680624,4.9006846729886835,4.6463186018339275,4.733328928287973,5.422054415457955
ENSG00000075624,4.671171985956076,4.706740664467497,4.700471906848805,4.733124439503069,4.678001635005658,4.664867713979448,4.7423445515805325,4.602323190856583,4.660171545107199,4.887433133054903,4.67900282541663
ENSG00000212907,4.435652509871973,4.409014913547198,4.8972851277663,4.305665639368901,4.254765362823547,4.713605672175969,4.251295368637891,4.763999677308616,4.901074201367497,4.695926894508066,5.256406009138563
ENSG00000184009,4.837160688689921,4.878396487565015,4.712483731430612,4.8420447385789815,4.7885412766336115,4.7935680576458175,4.925572861624653,4.708997650865139,4.7137404928590145,4.801546761044461,4.699717320638387
ENSG00000228253,4.718818578749212,4.759921332045819,4.8972851277663,4.794000652895964,4.7607505526942955,5.0039961198844765,4.713613398955023,4.690980709079554,5.0192320142948175,4.872802836439688,4.9196694534992105
ENSG00000211459,4.410638433522799,4.46022528959156,4.598800079444163,4.6876455706146585,4.544208220537193,4.6438376299737145,4.5492469490290715,4.666441775765757,4.786648096994873,4.509560526315898,4.706527883953643
ENSG00000198804,4.501379851455165,4.745013238429656,4.841149259112865,4.622626025793366,4.581672683572387,4.577955995370506,4.542352229181616,4.6348962944208685,4.671117366668894,4.5130864340810755,4.67900282541663
ENSG00000205542,4.3519584562540885,4.414255587206587,4.240704007430823,4.18203289862522,4.142459859913435,4.0829354346384665,4.1490554932517645,4.195249161514076,4.191443626470918,4.196981804567908,4.228337646242683
ENSG00000108518,4.636414942118113,4.679050730559641,4.522376455928259,4.607914010694345,4.52168771697279,4.545659913893642,4.492710410315543,4.5086766657499835,4.508969729485261,4.780219170902104,4.6928600553016295
ENSG00000251562,4.151911771111415,4.014824021030793,4.129483550801445,4.186560571298217,4.197942076036998,4.044984075513304,4.164316891653747,4.0624486687995,4.191443626470918,4.0461371763297365,4.183553023923464
ENSG00000248527,4.057354517108631,4.237475539187384,4.278265486251196,4.41568140561438,4.33240572295516,4.404910488693326,4.274171474519096,4.368384947819293,4.33838285727963,4.293557408874088,4.636240346290832
ENSG00000080824,3.9326940803420443,4.045521144779108,4.0163746380157965,4.1403340170136405,4.233290656265071,3.972816229739237,4.208751489139372,4.159807599736687,4.141870509557288,4.079268293019037,4.217328114277429
ENSG00000026025,3.1754243532599418,2.72465595944146,2.659739783593221,2.9513110441256023,2.789008843104237,2.927053355732266,2.809012781138686,2.7425627890534443,2.6448814530778506,2.5800845271799484,2.9056076788892424
ENSG00000111640,4.24579053535468,4.179698888667601,4.201676415451958,4.191067836514955,4.336329743356748,4.221793423423745,4.232610064017776,4.29910184217177,4.2428600447078635,4.201798416903191,3.9811793128188437
ENSG00000120708,3.678218384899243,3.778571564201113,3.571240549370207,3.806440533542348,3.913763483332513,3.663457418096743,3.6299190913447785,3.68782984274949,3.596384358212571,3.556110849222047,3.762690813944428
ENSG00000166710,3.278783010268672,3.1176257725304803,3.103155660693246,3.3548871976985,3.10239245311238,2.9732900429207985,3.0357592019142183,2.899658984471011,3.1010624099602917,2.908776925251064,3.05781129208538
ENSG00000197956,3.7664164085088867,3.6066884884927313,3.7582094569442046,3.912881036928472,3.8834288978507345,3.7292248837388122,3.712557338794194,3.7748213207125634,3.730473730945698,3.820344640671404,3.7450944224732448
ENSG00000123416,3.9224289783949655,3.9750780896257853,3.818373814154186,4.0616168915251425,3.9885793397632794,3.760554654659876,4.0910156567583496,3.8959407295652313,3.8671027527096182,3.9333351125424,3.9811793128188437
ENSG00000065978,4.416950856522886,4.2802130160894265,4.181576165451238,4.293562099595423,4.19343433538802,4.215289902269514,4.2831773720708615,4.321272858003732,4.2088778273950265,4.275866849733953,4.342059680559108
ENSG00000231500,4.066329763660695,4.0302903674562796,3.9546301396536547,3.9761698495849616,4.04778701316048,4.029390846855462,4.080091254560886,3.9795751970795914,3.914606368771581,4.147494973763524,3.9951010454224263
ENSG00000137154,4.207739493227908,4.27421835495065,4.3831608443319645,4.186560571298217,4.267432257966073,4.090355881054787,4.223134831789554,4.25791153532882,4.204547689716319,4.177479950130476,4.291964714515271
ENSG00000137818,3.637900259158583,3.8172927230925118,3.660578301481088,3.7659940521989417,3.8393525370881134,3.6170794994806896,3.8106913543006486,3.6627299924290417,3.9029403407194745,3.920685938605533,3.6124028595746434
ENSG00000167996,3.5958880403904034,3.4820184514408634,3.51353733909788,3.4814357845894266,3.62476785968911,3.5173250302026733,3.638497077038609,3.3807615188194116,3.513307647019043,3.684916810943932,3.3858647310903383
ENSG00000138326,3.9120574102994623,3.908003884119615,3.928823787599681,3.7728497614516874,3.62476785968911,3.858419384178797,3.7437907975016658,3.8192635662176766,3.7374211028846913,3.7549215630946975,3.762690813944428
ENSG00000135480,4.151911771111415,3.9669357565280934,4.0745274459202525,4.040929822702816,4.063344184644511,3.9039797883398473,4.029398504923774,3.9289407298409023,4.151068518296904,3.9396002005223782,4.206196021933944
ENSG00000134333,3.678218384899243,3.9251989059213863,4.107862162097879,3.786421768665114,3.584059216171992,3.7707835206682847,3.7437907975016658,3.759557216137181,3.7164324906801776,3.6521579266409474,3.632471241524092
ENSG00000146648,4.075225171205679,3.916638353162043,3.8888209071504583,4.1355916239203045,4.042547037012213,3.9974554215728086,4.123090555868756,4.015936471114369,3.9980158595000117,4.023423793473278,4.124595442842898
ENSG00000171858,3.8362785934444914,3.788393320777665,3.533144041925228,3.75909101756112,3.9718042694470985,3.7292248837388122,3.8249693360042833,3.8264823078846897,3.891136608415009,3.952013837987992,3.72718284356956
ENSG00000182718,3.7542830319625926,3.778571564201113,3.832865855286856,3.888836273054512,3.7088889371377856,3.760554654659876,3.9131152551748714,3.8959407295652313,3.8486905359846015,3.7549215630946975,3.6124028595746434
ENSG00000172757,3.7295654856826346,3.9911665221268064,3.8471508737726166,3.8827336473255474,3.8956733740557525,3.86769903920072,3.817855827531206,3.9354120338481935,3.897055890478177,3.8817491042155265,3.8933153391733804
ENSG00000105974,3.9428548797408567,3.8361051926123846,3.7887440360578175,3.857943762790749,3.925644270101395,3.989309626250324,3.95754495078546,3.9354120338481935,3.7021912828618455,3.820344640671404,3.908505973864496
ENSG00000125148,3.4075940196578327,3.546295040343685,3.7105848866193183,3.5434770054876137,3.5063274008385226,3.5432119532160247,3.6212668867042903,3.7672183922532003,3.5639770889997386,3.643797736427734,3.3858647310903383
ENSG00000142937,3.9326940803420443,3.933686797199659,3.9921323782278506,3.953616453579601,3.966149457131288,4.067927281307268,3.93239875995133,4.015936471114369,3.873165585675808,3.970350056467424,3.762690813944428
ENSG00000070756,3.7664164085088867,3.863676515493053,3.7887440360578175,3.9009309220843504,3.8263940361904534,3.69688172344666,3.6965670014295173,3.6015910104808024,3.8043626226998466,3.574274145333016,3.72718284356956
ENSG00000067225,3.8249685969884912,3.6066884884927313,3.7267130718900248,3.7380913126234887,3.663883929742013,3.449514764091516,3.558510028619416,3.696058384622263,3.6200186894520257,3.6929415572539623,3.8463077988778327
ENSG00000156482,3.536976719273572,3.6298603078170197,3.2928884657656745,3.4250109676815272,3.3719501142468733,3.3615632815534764,3.53983154740408,3.3694656523506383,3.2240069735708663,3.4187954328998584,3.3336762084023035
ENSG00000069275,3.7042214646876648,3.778571564201113,3.6257949686235182,3.687305870943368,3.6715268311859313,3.421048520603738,3.5858894472063167,3.7440565023808507,3.784746445377996,3.762405776475984,3.796981082918101
ENSG00000133112,3.7542830319625926,3.6746528050617004,3.7267130718900248,3.5605183604560904,3.450932543705624,3.750220076707097,3.7204576344313347,3.5364692278499628,3.5557084721289165,3.6009151088364795,3.632471241524092
ENSG00000140988,3.778404329334714,3.546295040343685,3.571240549370207,3.625920155367429,3.632714437214207,3.685863955096042,3.612539167576667,3.6015910104808024,3.6200186894520257,3.546903969670419,3.2203409870036714
ENSG00000135446,3.9326940803420443,3.826743195826292,4.150647331721949,3.8827336473255474,4.052999675022748,4.021502093587322,3.95754495078546,4.06811347877776,3.9764446922167935,4.023423793473278,4.0088316215713835
ENSG00000197756,3.581482367915612,3.5708918069231728,3.7735932870389135,3.6798355901934423,3.7449052470010256,3.6747234418961767,3.7282960043095614,3.5170565891822796,3.817229509469073,3.8817491042155265,3.549661850151791
ENSG00000074800,3.7042214646876648,3.663641369754456,3.607938818056691,3.8195671478821676,3.592334600410996,3.5684456187142604,3.558510028619416,3.789855931034902,3.6506865564245343,3.716636503526655,3.50553506538444
ENSG00000106211,3.581482367915612,3.4551045770369906,3.041606484772037,3.472249980675816,3.567300124066381,3.4353829298051526,3.430354700322908,3.3694656523506383,3.5473709147947976,3.4292541164075203,3.591923475446289
ENSG00000071082,3.778404329334714,3.7586338251874345,3.832865855286856,3.687305870943368,3.858480771872282,3.7077794222746654,3.7204576344313347,3.70421976981937,3.6200186894520257,3.7698343922540687,3.6714387539664624
ENSG00000148303,3.7295654856826346,3.641247929224493,3.533144041925228,3.641623453139475,3.5329150482686837,3.5303522559683933,3.6212668867042903,3.5555121811575434,3.5557084721289165,3.6096400104520683,3.27861334816251
ENSG00000146731,3.778404329334714,4.045521144779108,4.040043093521089,3.930542642201088,3.8647763964459454,3.739777578976961,3.781508859428088,3.960886429405975,3.817229509469073,3.9458262814308975,3.9527405552243535
ENSG00000083845,3.50616632819951,3.5337659973824653,3.1325655663385645,3.3124919819162697,3.4023042217470345,3.3461221547912308,3.3982932054399018,3.2488797535831635,3.4507537012657674,3.6009151088364795,3.2203409870036714
ENSG00000255823,3.2982319520185785,3.191302750575157,3.7267130718900248,3.4441751770362368,3.479013497013754,3.5432119532160247,3.4408174326445105,3.68782984274949,3.4958307800648254,3.546903969670419,4.124595442842898
ENSG00000164587,3.536976719273572,3.6746528050617004,3.6775265383436335,3.5689313579406488,3.422040211304988,3.5303522559683933,3.3424615549413086,3.4668093549689423,3.588380467233653,3.3536365591285824,3.4827193291538934
ENSG00000019582,1.1266098683346484,1.1503402211255709,1.46398253676918,1.6971643667905076,1.7028688275942758,1.16597993121885,0.9648240648746302,1.1972714076684876,1.0095029856856306,0.8259399851384969,1.7059969450600094
ENSG00000163191,3.4580942450276715,3.468652056085713,3.2159365099761072,3.3124919819162697,3.3719501142468733,3.5041258533158515,3.4614201090903616,3.28660636385742,3.4131693851475857,3.33093802505231,3.50553506538444
ENSG00000181019,2.6035099057532824,2.2197703657889907,2.2659387583514485,2.0200969749905093,1.9439413074674303,1.689751109143946,2.5152969293346747,2.151007941877523,2.0008764064512543,2.004197054157182,1.8338635979715132
ENSG00000125691,3.69130444243216,3.717524657640269,3.694192313060297,3.617975055240792,3.8647763964459454,3.7077794222746654,3.7282960043095614,3.619444020921693,3.6277742795558368,3.70880040628252,3.632471241524092
ENSG00000182899,3.4903976822288083,3.3990011558651987,3.58975801963315,3.625920155367429,3.4317640362326447,3.6288771810124265,3.558510028619416,3.6105573564198763,3.4507537012657674,3.6096400104520683,3.2203409870036714
ENSG00000096384,3.7295654856826346,3.727961466231264,3.387065472472336,3.4629790148839787,3.701527356200745,3.4353829298051526,3.481606869821685,3.4139031408511724,3.459933138935801,3.386746612010361,3.4593708566851347
ENSG00000142676,3.6240913753489816,3.6963184632261408,3.6257949686235182,3.617975055240792,3.8956733740557525,3.4065056442401165,3.511142912902674,3.6105573564198763,3.665674857835055,3.8412345541090303,3.5710159018082277
ENSG00000122406,3.801957467557357,3.798119547957965,3.7267130718900248,3.7020810731701057,3.8647763964459454,3.739777578976961,3.788884709923178,3.7440565023808507,3.6122024797231664,3.806171585755027,3.7450944224732448
ENSG00000198744,3.536976719273572,3.3844693113733477,3.473131556662741,3.6798355901934423,3.6005420643478674,3.685863955096042,3.6470021062698175,3.6282524077344913,3.6277742795558368,3.6268647101307945,3.249901566051052
ENSG00000167553,3.7295654856826346,3.7686523830509127,3.6433378624594916,3.7238424444043416,3.737805011976367,3.739777578976961,3.3651696250653904,3.6711668034653484,3.817229509469073,3.70880040628252,3.4593708566851347
ENSG00000247627,3.6240913753489816,3.6066884884927313,3.51353733909788,3.9009309220843504,3.765908392331971,3.739777578976961,3.8249693360042833,3.8478310407163914,3.7443205416648437,3.8132832224387654,3.762690813944428
ENSG00000109475,3.6240913753489816,3.6963184632261408,3.58975801963315,3.633802628131862,3.694111180235709,3.750220076707097,3.603734604200776,3.4668093549689423,3.658208788014345,3.643797736427734,3.36011088635429
ENSG00000196230,3.4247123613364256,3.468652056085713,3.16113518340774,3.4629790148839787,3.3511897751240625,3.298314493457464,3.530359824301044,3.3694656523506383,3.343793376493151,3.4187954328998584,3.36011088635429
ENSG00000196262,3.3173098376099186,3.259921943519341,3.2422506325320066,3.3754293088728846,3.2749341626300765,3.1394282097452875,3.233365877996701,3.445981538560201,3.2123708036038834,3.0849070337887348,2.945884876783333
ENSG00000234745,1.8266356568565487,2.0119389960671117,1.943286174321888,2.2942398221715004,1.7028688275942758,1.8408287081892385,2.5412197561846956,1.4589704497012017,2.076555757340844,1.8651823925452584,2.22598483706381
ENSG00000142871,3.8802812352669007,3.826743195826292,3.6257949686235182,3.7380913126234887,3.75895624358652,3.7077794222746654,3.8801259899202503,3.759557216137181,3.897055890478177,3.762405776475984,3.8622237692580987
ENSG00000249072,3.2982319520185785,3.259921943519341,3.8751229259797504,3.5689313579406488,3.663883929742013,3.463449669373964,3.520797529102052,3.5268100140939773,3.784746445377996,3.7845280927666467,3.549661850151791
ENSG00000108298,3.35440724914545,3.441371040302373,3.51353733909788,3.508497520206532,3.5588140623298345,3.5684456187142604,3.6470021062698175,3.49725962693162,3.4958307800648254,3.6096400104520683,3.4827193291538934
ENSG00000087460,3.1754243532599418,3.3241333813478686,3.2928884657656745,3.2099717186153374,3.115754311962855,3.0174830441749068,3.066493878568555,3.051135026631993,3.1268903252722366,3.2218913045525124,2.6224540728668497
ENSG00000154978,3.8585219238931128,3.717524657640269,4.004326967218013,3.7309922570799134,3.90173984457484,3.895032255681397,3.7590491608511134,3.4668093549689423,3.7443205416648437,3.7473809136182807,3.7089445796697653
ENSG00000213741,3.536976719273572,3.4551045770369906,3.4310241502877807,3.323260475153203,3.412220904396315,3.5432119532160247,3.2586586466681475,3.4029775212117954,3.2355092990309435,3.386746612010361,3.0924992967699283
ENSG00000034510,3.4075940196578327,3.3241333813478686,3.317277182323489,3.301606264762686,3.308329592428281,3.176981858978544,3.3873734675906846,3.477062815851884,3.4035483665237973,3.4187954328998584,3.27861334816251
ENSG00000136810,3.336030560756962,3.1733861331727025,3.103155660693246,3.1481201014912794,2.9579269007463145,3.1394282097452875,3.0200302159305794,3.1826557359114025,3.005019229063561,3.024388109665253,2.819833373346176
ENSG00000167658,3.278783010268672,3.0983259662941856,3.341085223223488,3.054549504457584,3.1548009296526702,3.0803133042792856,2.9374453677370336,3.0818930076693496,3.1140597504498424,3.039864653268056,3.021876657129415
ENSG00000072110,3.2589482918339705,3.5708918069231728,3.2678900386788565,3.4054723035936125,2.942262665423057,2.995630651354313,3.1108941856294763,2.8044013211464702,3.312521252148062,3.0086682723828284,3.126024274179163
ENSG00000170315,3.35440724914545,3.4274462640945513,3.5523737026628885,3.1856881898011564,3.308329592428281,3.3145056656739555,3.1108941856294763,3.2488797535831635,3.2123708036038834,3.0994813220041806,2.7740195691933027
ENSG00000244052,3.7042214646876648,3.6298603078170197,3.4522994663129807,3.472249980675816,3.584059216171992,3.3145056656739555,3.6212668867042903,3.6105573564198763,3.588380467233653,3.6268647101307945,3.3858647310903383
ENSG00000008988,3.1534059069360643,3.2925429625096343,3.2159365099761072,3.3124919819162697,3.10239245311238,3.195242737378209,3.3424615549413086,3.334791681399399,3.2581244901428543,3.0994813220041806,3.126024274179163
ENSG00000143947,3.372452319731047,3.4551045770369906,3.4522994663129807,3.472249980675816,3.592334600410996,3.4771930587704616,3.501394175648456,3.5072070972212597,3.4958307800648254,3.1959546264749363,3.2203409870036714
ENSG00000214182,3.336030560756962,3.3395620719248647,3.341085223223488,3.3754293088728846,3.4882012758342054,3.298314493457464,3.3873734675906846,3.3580407300977555,3.333477615202958,3.470028167309461,3.50553506538444
ENSG00000112306,3.4247123613364256,3.4551045770369906,3.571240549370207,3.4054723035936125,3.469740519522209,3.421048520603738,3.3424615549413086,3.564899374147163,3.4958307800648254,3.375831284328072,3.6124028595746434
ENSG00000145592,3.35440724914545,3.276365463477118,3.341085223223488,3.323260475153203,3.2635498341249214,3.3615632815534764,3.3538800456745883,3.4247106802637965,3.44148922026717,3.386746612010361,3.05781129208538
ENSG00000244398,3.7042214646876648,3.558669046842891,3.4310241502877807,3.4250109676815272,3.469740519522209,3.6405372986131295,3.53983154740408,3.4668093549689423,3.4690290803971795,3.5652337348763834,3.4827193291538934
ENSG00000174748,3.2387121824417537,3.3084629110623456,3.4935385124059306,3.26821953249389,3.308329592428281,3.1394282097452875,3.2954373223452595,3.3580407300977555,3.343793376493151,3.3077122773900616,3.126024274179163
ENSG00000198363,3.4415425904847914,3.4551045770369906,3.4935385124059306,3.2794727514757236,3.4023042217470345,3.158381308575481,3.430354700322908,3.0969243523687617,3.2123708036038834,3.3193925791249734,3.6714387539664624
ENSG00000136942,3.4903976822288083,3.3990011558651987,3.607938818056691,3.2218958705648566,3.180009912578878,3.3917481475888795,3.4915494641206313,3.196256040199588,3.44148922026717,3.439604547060274,3.021876657129415
ENSG00000204628,3.3173098376099186,3.2925429625096343,3.317277182323489,3.2794727514757236,3.192380031103144,3.195242737378209,3.376333171390005,3.3580407300977555,3.246880824083189,3.4082262081978527,2.9056076788892424
ENSG00000256618,3.107858931243811,2.951667926309592,3.40928633760387,3.4814357845894266,3.584059216171992,3.2481060013587464,3.3873734675906846,3.5741992666162847,3.312521252148062,3.3193925791249734,3.126024274179163
ENSG00000224631,3.336030560756962,3.468652056085713,3.4935385124059306,3.4250109676815272,3.4973054073250998,3.4065056442401165,3.501394175648456,3.5072070972212597,3.3641110403750822,3.5282319407977094,3.27861334816251
ENSG00000143933,3.372452319731047,3.369723174486745,3.2422506325320066,3.1856881898011564,3.3719501142468733,3.298314493457464,3.451171828713643,3.1548873191715963,3.312521252148062,3.2718297837593577,3.249901566051052
