	L19	K18	K20	K21	K22	K23	K24	L18	L20	L22	L23	L24
ENSG00000210082	6.187859087917457	6.898412854248522	6.9739817408231835	6.8427674064381465	6.815816474963182	7.019260037953002	6.85460738557199	6.798137837271197	6.861239291165592	6.825611639438198	6.952113192982306	6.941518230937043
ENSG00000198886	5.414060808589091	5.846357702685581	5.74033104207208	5.785850571829981	5.8776205899358445	5.748964540877715	5.8745329644055095	5.80414715999732	5.732469356618629	5.892086641017984	5.900873413091157	5.715405555655569
ENSG00000198938	5.590642104089762	5.491265989363089	5.4474964463685716	5.4848807981415435	5.543204912759204	5.453888447796936	5.5179174706474825	5.436496375574619	5.533415129883814	5.490375128708378	5.521896466561496	5.513803769608343
ENSG00000198727	5.116316873334139	5.441732403477428	5.515369207302629	5.586149124612942	5.545822762244448	5.501026311460712	5.460706576897263	5.694364335607407	5.501687888830575	5.520159032117848	5.458152003484645	5.417797927001862
ENSG00000198888	5.134725858642383	5.430791147850638	5.288851370157862	5.517536772341987	5.545822762244448	5.432203228504624	5.50970663044389	5.506021638403012	5.6481977279575	5.540661345709088	5.459838273434409	5.366101659160463
ENSG00000132432	3.768926133027751	5.196301887762607	5.172612564253093	5.284355606691103	5.219488064203528	5.196371602492295	5.0512978951847805	5.2113538285233565	5.1100431671773245	5.1897584282602365	5.1152628679505225	4.995260928953865
ENSG00000198712	5.278865065077294	5.2700142814666275	5.147650778587417	5.234002951451735	5.244534710038246	5.2393749651788095	5.347125961224032	5.314104277823967	5.265482194004618	5.261578405157404	5.315057650947913	5.229899236427081
ENSG00000198899	5.0622388139779	5.246042174143869	5.2226971609982975	5.142362663053307	5.215858205900375	5.149013595919615	5.178467238706482	5.234277941399703	5.237151977571963	5.160510897962969	5.273304158017822	5.17234042355634
ENSG00000198840	4.65667073819414	5.156096760662177	4.903089733459768	5.0736114112163735	5.026232145682532	4.962996513613784	5.099658972474492	5.037303151664712	4.919861930356187	5.061811599641424	5.076472476558549	4.954464764231235
ENSG00000198786	4.258380581623385	5.184643716782384	5.0245244295802864	4.756844692108509	4.731924530659477	4.924288995505617	4.756159572352278	5.130906715030774	5.026313304576332	5.005667581721032	5.0590167624711375	5.1085231917175244
ENSG00000198763	4.793911463914502	5.216950098702715	5.084622028584092	5.0054418866935775	5.056538394007211	5.044297886563476	4.946937866821179	5.1665643529338645	5.161411169238195	5.153063373927089	5.0739973809320205	5.195259591603398
ENSG00000269028	3.668763664726192	5.225991984618997	5.319470060922496	4.756844692108509	4.558405946012807	4.957138163086118	4.5550641227914435	4.8888178426772955	4.82770540992089	4.879664901842261	5.017935316649616	5.080681873803552
ENSG00000075624	5.078449934886558	4.7067125703056325	4.525162927114941	4.781857179634499	4.797571202880755	4.704474807694701	4.846535784059777	4.779940114455728	4.86366819676152	4.81890113367485	4.7350687502513225	4.700586068450937
ENSG00000212907	3.7807694207877938	4.841005524929886	4.4131333515167634	4.488719637618225	3.955733019955274	4.432297581245125	4.115737638381973	4.630483163784515	4.4179112723098015	4.358568592941517	4.58122234549107	4.979766428670193
ENSG00000184009	4.699855962886732	4.699119190752026	4.582373720078137	4.712454569884692	4.772394083056866	4.64606836808219	4.766614286689265	4.64873876656273	4.715070760469267	4.8564712538384125	4.531321129284692	4.704706360260851
ENSG00000228253	4.497552780261358	5.067853589353959	4.884080841424263	4.836783076692118	4.861766713681991	4.905905786959423	4.817308607117135	4.822645665733434	4.844212626666739	4.808404931891729	4.910103585011849	4.925213562042259
ENSG00000211459	4.661562230408809	5.073111382588027	4.978204032003818	4.999782158442577	4.9245247176823375	4.933355405141082	4.89342603960978	4.8816779361012514	5.034467635367049	4.927624945026669	4.924595542135833	4.9383198408364
ENSG00000198804	4.933336767004209	4.732844321844851	4.80717677862809	4.719991116182905	4.632767958259293	4.700685402870673	4.675957603033491	4.625866710608565	4.6962664770816005	4.7430032320673545	4.6326119743519865	4.75286945228657
ENSG00000205542	4.718466604383196	4.324405992474921	4.291919667604037	4.296293782207184	4.373967170632136	4.1600441676034805	4.234661379690817	4.1853618324951425	4.1020957335464345	4.1303386473629375	4.182881178083587	4.175069058891595
ENSG00000108518	4.083243767739898	4.2614880633612415	4.148254246320621	4.318973731148631	4.330854500312218	4.322177740516132	4.2405453244234685	4.2275868701255135	4.289670719821888	4.254016815671148	4.442185218965863	4.382444425294201
ENSG00000251562	4.3883116951030114	4.35174674231592	4.36363161468271	4.404875030579678	4.262486487017373	4.253340864584018	4.257992242639348	4.374706816375427	4.40783078058746	4.254016815671148	4.275152322538987	4.287248653343102
ENSG00000248527	4.53700851995349	4.4590533792717055	4.48102510086264	4.378814896743082	4.398969900225397	4.466464911542019	4.407640474921039	4.460171992329756	4.4027521707353054	4.443131809074195	4.522756683401208	4.3710288804643405
ENSG00000080824	4.15863298755554	4.219284807967125	4.1708847919107805	4.141545360358362	4.137000189213712	4.020341547822978	4.081940248413483	4.126136537309772	4.162151921889596	4.1303386473629375	3.997564656034199	3.999985964403714
ENSG00000026025	4.322034637308292	3.6222857370177994	3.6554232378384417	3.682360864947262	3.7500440436990266	3.5974610232836137	3.7216873475981416	3.7287115876329864	3.701449308452108	3.3970413049301937	3.5341923267940847	3.7347931152342655
ENSG00000111640	4.349074821446694	4.1291270881233215	4.1425156723967005	4.134828281578567	4.147639362734866	4.210882973287879	4.135481031632986	4.350626224396112	4.108949549184743	4.295984294310813	4.12056542767376	4.242570332359296
ENSG00000120708	4.62680841382092	3.7580679580307823	3.8808874407846456	3.8919027935992014	3.896304222231692	3.9010524383543927	4.025369878737251	3.9424670302193	3.8796477568367527	3.815309695422698	3.8982654362320237	3.9221604014452898
ENSG00000166710	4.695148676272135	3.397430772480172	3.424663160458411	3.2841530826734435	3.597187023331345	3.381142425123437	3.7216873475981416	3.5143722475727923	3.303168965672093	3.3065094851779486	3.5225676681363454	3.3571452485311646
ENSG00000197956	4.514653352586679	3.738341234741892	3.9318966782588602	3.925696985227968	3.8546275596119632	3.8401078589428086	3.84225428958934	3.7511549620113303	3.862317006365573	3.815309695422698	3.8982654362320237	3.913127046912788
ENSG00000123416	4.335646123037972	3.6976805171099594	3.9529856379314503	3.829867292690295	3.8894776187640647	3.81280712978436	3.885012471212639	4.02172205765281	3.913433413005377	3.824759748408254	3.8738789402041967	3.6675043702254166
ENSG00000065978	3.7569408990133732	4.007451924043761	4.1764633019465665	4.224994019858917	4.087671418112897	4.179412857068189	4.088791725496353	4.199635870515622	4.122517845738502	4.123385497989353	4.139671246858772	4.175069058891595
ENSG00000231500	4.029629349057124	3.976534836935501	3.980429769008461	3.9663944276520873	3.9996309852696896	4.049887103576716	4.018068151207807	3.995995379412623	3.913433413005377	3.997124257202218	4.06095499963517	3.974711160169972
ENSG00000137154	3.628455670414186	3.936493808233591	4.013708539777884	4.134828281578567	3.9621233774693394	4.012816718119726	4.081940248413483	4.038512680874905	4.067103811162597	3.931698866233104	4.094509565110027	3.7978381397498215
ENSG00000137818	3.9333428995080872	3.7963910080580057	3.770329856767981	3.8745675515458937	3.676533353105429	3.7361368373799153	3.815693361351391	3.8859105417340474	3.604499979998787	3.506260046648725	3.579384992924382	3.6904407346808887
ENSG00000167996	4.413639603269083	3.5036473608665646	3.5466847593574995	3.763727365154988	3.7341689683707857	3.67451190467366	3.660726619646639	3.670295296237661	3.6157480978522187	3.5317975981295184	3.5682768531571734	3.7772616207930954
ENSG00000138326	3.9433996030298437	3.805746610937372	3.786892038201152	3.811412294257335	3.7733938973618533	3.803538707456637	3.7884076556720037	3.846347207228456	3.789824593211992	3.931698866233104	3.840410014182871	3.84749998804636
ENSG00000135480	4.001704193374762	4.022559252306288	3.9460052843330136	4.013141083421916	3.9297552222802383	4.120143666227866	3.934020068518004	4.030152609478421	4.038201046641435	3.815309695422698	3.922071361081667	3.8571431155308633
ENSG00000134333	3.7807694207877938	3.8332994473894697	3.8957289344015895	4.043134004528024	3.9030845389869095	4.012816718119726	3.8334788009739262	4.087256500228071	3.90509340801558	3.870715143924399	3.788007718287005	4.01648777118458
ENSG00000146648	2.279977295855909	3.851255088576147	3.9175861674276318	3.8919027935992014	3.987284105271136	3.9260758468745007	4.1023554394711415	3.9515897743888773	4.142531228462349	3.9649465265380033	4.00480975202609	3.991631808603069
ENSG00000171858	3.7075096815406914	3.718217523435928	3.8031843768971605	3.7926102949224414	3.868713658549592	3.803538707456637	3.8334788009739262	3.762190543107685	3.871019925495299	3.805769486277895	3.788007718287005	3.6790383106135667
ENSG00000182718	4.1258262204964335	3.5881483024079417	3.7534887432742416	3.763727365154988	3.818518982442797	3.4497620891150063	3.89334901374742	3.7839029386695855	3.862317006365573	3.8616914651800216	3.611987717506887	3.6790383106135667
ENSG00000172757	4.182550515961656	3.5996574191193367	3.6831361284831634	3.692901169202456	3.8546275596119632	3.866683022882048	3.7412088280045284	4.133734382347905	3.8796477568367527	3.870715143924399	3.6741678061590584	3.8571431155308633
ENSG00000105974	3.2496218265358645	3.8241992595528003	4.052234154815588	3.8020554833363773	3.987284105271136	3.9260758468745007	4.003302777330141	3.9424670302193	3.7515074543373186	3.6616657536961785	3.823245894029007	4.0798996497285565
ENSG00000125148	3.9333428995080872	3.4519486496968588	3.4363921518949034	3.6166736377163415	3.578665625956247	3.6312122863782363	3.5731955836007114	3.6335340637056097	3.626871101544793	3.5689212481708386	3.643560979422977	3.607750582650112
ENSG00000142937	3.512277184693684	3.928289549515804	3.7449606197337477	3.829867292690295	3.796210952472321	3.866683022882048	3.901616632530684	3.7511549620113303	3.8084462903469087	3.9567376679533472	3.788007718287005	3.7347931152342655
ENSG00000070756	3.5720526596160496	3.6976805171099594	3.761944752490114	3.7830750435871363	3.757888064016368	3.803538707456637	3.815693361351391	3.773105668246278	3.799178787103697	3.815309695422698	3.796934356451673	3.8855268051415663
ENSG00000067225	4.166669225826753	3.0879815901538867	3.3638614047925537	3.605293688152708	3.262498007312263	3.3074649039994486	3.4256067510664825	3.555690822092034	3.4454444516364324	3.480053199123677	3.5341923267940847	3.4763309213186653
ENSG00000156482	3.9533561754194766	3.5161649548346547	3.5975812532324736	3.470739575416009	3.5405608067493257	3.695478351879788	3.7017771786290896	3.4414716330198054	3.5816169168263445	3.5191103409909585	3.5456834041134067	3.6558358442447765
ENSG00000069275	3.464977354978879	3.5881483024079417	3.8192155250135262	3.95838636402288	3.587969204300995	3.755862510002945	3.639551612319329	3.6822547436580217	3.680702687835791	3.367765337977477	3.6012378155448967	3.6558358442447765
ENSG00000133112	4.190397570830732	3.644413323951897	3.626920399145956	3.713654226859144	3.718037804130152	3.7361368373799153	3.769794589297803	3.69407285137581	3.4971324048035686	3.6835675646580497	3.5682768531571734	3.6440295546861483
ENSG00000140988	3.9533561754194766	3.5647249011367528	3.761944752490114	3.7033315332399783	3.587969204300995	3.608838486901152	3.639551612319329	3.3950358081491343	3.626871101544793	3.7864116015812126	3.6012378155448967	3.6675043702254166
ENSG00000135446	2.514284994569395	3.655296174160551	3.626920399145956	3.713654226859144	3.6420431028092564	3.695478351879788	3.8334788009739262	3.87616548108772	3.929907612381537	3.7049999492224512	3.7699117709726386	3.6675043702254166
ENSG00000197756	3.768926133027751	3.633410732999197	3.4594453236864906	3.6717082781353665	3.569274677551161	3.4228765812742665	3.6916714380060265	3.410755225341551	3.404846058759429	3.6835675646580497	3.5341923267940847	3.462186734037936
ENSG00000074800	3.9333428995080872	3.5285277938084594	3.6647464627888255	3.6166736377163415	3.7341689683707857	3.608838486901152	3.7314957230696137	3.6822547436580217	3.7217742405946153	3.672676619144132	3.5225676681363454	3.7772616207930954
ENSG00000106211	2.7379547891454257	3.478132062674017	3.607456920845759	3.444203951372165	3.4276044899919182	3.4228765812742665	3.2985944284406763	3.1442504167167367	3.659516509515584	3.3970413049301937	3.590371096278977	3.221807569613337
ENSG00000071082	3.600651774767873	3.860113436887545	3.7276830350088135	3.6717082781353665	3.8616954111486392	3.705798999972538	3.6069238873315634	3.69407285137581	3.8446805958797015	3.736311112861443	3.7135720667043084	3.7128627965135688
ENSG00000148303	3.7325306898437387	3.4385952840401317	3.504016079884469	3.7033315332399783	3.701642153121025	3.74604831067296	3.412265126037932	3.410755225341551	3.701449308452108	3.411364031916241	3.5570439352706438	3.6440295546861483
ENSG00000146731	2.6323604217819225	3.74825323854911	3.692205679259783	3.8389686235035687	3.757888064016368	3.81280712978436	3.639551612319329	3.5143722475727923	3.835744361256116	3.650532298013388	3.7421386366586527	3.607750582650112
ENSG00000083845	3.0750281077322423	3.4909710883681155	3.6647464627888255	3.5703555554051314	3.559794702529292	3.5974610232836137	3.514323551532728	3.5143722475727923	3.4320939562345	3.3065094851779486	3.2862568369513565	3.462186734037936
ENSG00000255823	3.121616405280421	3.8241992595528003	3.9529856379314503	3.6166736377163415	3.5308033276128885	3.849044948116087	3.769794589297803	3.5953696980175325	3.741694285515429	3.694341174229841	3.9902666853108943	3.9399859311879255
ENSG00000164587	4.029629349057124	3.7677872842933238	3.6365118971767516	3.627925539835047	3.62434137945965	3.7160142194535823	3.5731955836007114	3.8955615519632767	3.5220078552470824	3.627886479651686	3.4623266324899395	3.6675043702254166
ENSG00000019582	4.221184151503359	2.2815413039138037	2.5892466434409602	2.61246711898006	2.431922339312085	2.3213715932852654	2.5506189826556342	2.2006200062055243	2.433289375878376	2.3899099578838325	2.458996299356103	2.5501943451663167
ENSG00000163191	4.117453556734076	3.5528041891220115	3.376321103632752	3.692901169202456	3.5209497011514865	3.2764036126050398	3.6069238873315634	3.555690822092034	3.5699759787566645	3.4666876434327447	3.3438059762088512	3.4478396149867243
ENSG00000181019	4.182550515961656	2.723548118524086	2.763557374384052	2.8332926045557967	2.6898430588731803	2.6050076133284232	3.2365152171057066	2.550204395372618	2.396116868957499	2.6339990281248493	2.5557679616712456	3.0219481156848835
ENSG00000125691	3.7807694207877938	3.5996574191193367	3.57753242602823	3.7539113161462514	3.818518982442797	3.6312122863782363	3.750828495373311	3.705752921182629	3.6487526875025953	3.7666715796475767	3.7135720667043084	3.607750582650112
ENSG00000182899	3.668763664726192	3.4909710883681155	3.617236012621872	3.5584328820179283	3.5209497011514865	3.72612614253184	3.5500609960346736	3.4564831207753124	3.534217318471437	3.672676619144132	3.424359402259189	3.607750582650112
ENSG00000096384	3.7325306898437387	3.4651260501269845	3.2856556544125985	3.470739575416009	3.5502239967698856	3.4629385519213214	3.3427487874017037	3.7172981405064487	3.376834866646905	3.5809957292991967	3.3154453373927053	3.2573975012656273
ENSG00000142676	3.668763664726192	3.5528041891220115	3.4819790002725934	3.444203951372165	3.650777827906877	3.526335953082282	3.5263784986436923	3.3950358081491343	3.5096474765354904	3.5566991902195224	3.5225676681363454	3.787602803479377
ENSG00000122406	2.8633654801957547	3.5407396575774968	3.7189309946308673	3.5584328820179283	3.4596975077498913	3.5743102335793195	3.639551612319329	3.5690928123614465	3.4716223466140077	3.453141026952977	3.5570439352706438	3.5828121318796367
ENSG00000198744	3.8814839603862112	3.842317568072743	3.6554232378384417	3.682360864947262	3.709873580420728	3.67451190467366	3.650195162552817	3.6082536683000255	3.659516509515584	3.715546311855732	3.611987717506887	3.787602803479377
ENSG00000167553	3.7807694207877938	3.3397684438945037	3.567355236259361	3.593782743185965	3.7421380079562	3.4759436510752724	3.5263784986436923	3.6581910874221193	3.6157480978522187	3.4932424702867317	3.4868602150119337	3.4763309213186653
ENSG00000247627	3.380805008998033	3.7963910080580057	3.5466847593574995	3.605293688152708	3.818518982442797	3.705798999972538	3.7216873475981416	3.6082536683000255	3.6378717438052086	3.694341174229841	3.760739498458334	3.607750582650112
ENSG00000109475	3.655507376113759	3.3248179347433537	3.424663160458411	3.5821377518676782	3.62434137945965	3.653096434338549	3.3135302219983656	3.555690822092034	3.45861905695262	3.4254845117166277	3.411376422104153	3.308514561277786
ENSG00000196230	3.7448102748683896	3.5161649548346547	3.3638614047925537	3.48374792277282	3.4596975077498913	3.56253070189172	3.3427487874017037	3.4262313617571567	3.3480163800658485	3.480053199123677	3.411376422104153	3.4902778375611687
ENSG00000196262	3.8490265746440495	3.1964132450474705	3.3638614047925537	3.1309875878267808	3.168451737751099	3.3952482250652904	3.2985944284406763	3.164405522177318	3.081571126308872	3.0963898977413664	3.256190686482147	3.1659287770029594
ENSG00000234745	4.1004949438119604	2.1442685008685056	2.2336569238955413	2.7289630037803705	2.8177138049582915	2.4732122481056007	2.4849236252669216	2.621366007236285	2.433289375878376	2.5365836212265225	2.3888536198814205	2.1658092401381523
ENSG00000142871	2.514284994569395	3.5036473608665646	3.557073405434551	3.627925539835047	3.6332314094992566	3.4364096862899784	3.617918506327328	3.3790653392411225	3.604499979998787	3.736311112861443	3.3438059762088512	3.433283656227895
ENSG00000249072	3.0008045709488727	3.842317568072743	3.770329856767981	3.7033315332399783	3.5308033276128885	3.794183577204288	3.5845652209969177	3.6459385697411264	3.680702687835791	3.5929261549983016	3.6741678061590584	3.6558358442447765
ENSG00000108298	3.44870015917134	3.3248179347433537	3.567355236259361	3.546366341484248	3.6420431028092564	3.366834801308088	3.5500609960346736	3.4858465195715955	3.5931239013070453	3.6616657536961785	3.4623266324899395	3.6558358442447765
ENSG00000087460	3.8040433339841764	3.1436663761529418	2.8510260681355715	3.0140657935600914	3.416673782807598	3.123288246525625	3.2365152171057066	3.2225423906501267	3.2877614561614688	3.1346206340380967	3.143212950649651	3.3571452485311646
ENSG00000154978	1.898951038510906	3.2785766142975517	3.1859428896479582	3.5341524193540335	3.168451737751099	3.4497620891150063	3.3282462164747084	3.3950358081491343	3.390938537857325	3.453141026952977	2.8698097664484017	3.3882996397519225
ENSG00000213741	3.398215828874764	3.4909710883681155	3.424663160458411	3.3600911122777797	3.4491138640423684	3.381142425123437	3.3570440368775083	3.2951472904684858	3.3183426814576227	3.411364031916241	3.5456834041134067	3.462186734037936
ENSG00000034510	3.512277184693684	3.106889819777122	3.0917701727476015	3.034526949165788	2.94877572514346	3.0268633521916586	3.0620230526422567	3.3628356692952823	2.660768027301299	3.0963898977413664	3.27133675413643	3.0652434215651727
ENSG00000136810	3.972976766184871	3.262675146125228	3.2720053915477703	3.3304042429605056	3.1252710513649498	3.141505677503139	3.2680364739989205	3.059304144774305	3.1190253915364217	3.0566392733395205	3.3009575794615262	3.086207846769472
ENSG00000167658	3.4153286923697355	3.0290122080796023	2.8510260681355715	3.218956670513696	3.236517897954084	2.874041235654764	3.283432170251075	3.164405522177318	3.3625294329102884	3.2242537440569103	3.193202533549796	3.274728477011557
ENSG00000072110	3.4321536261610626	3.3248179347433537	3.4479851674109256	3.1671090267303263	3.236517897954084	3.123288246525625	3.3427487874017037	3.6082536683000255	3.2400612238024893	3.2069583490583877	3.384893576836812	3.3728437637468573
ENSG00000170315	3.187665892579375	3.1615595901617013	3.338466374797098	3.509267714110259	3.4056222735960686	3.2605035097703694	3.5382898532862206	3.346338245634344	3.223641760830621	3.3970413049301937	3.0539077717484235	3.106741774537804
ENSG00000244052	3.0985935406573017	3.309640511090268	3.6460122716921415	3.546366341484248	3.416673782807598	3.4759436510752724	3.5845652209969177	3.4414716330198054	3.390938537857325	3.6047159221081855	3.498904925515497	3.3571452485311646
ENSG00000008988	3.557440420723875	2.8761720379097335	2.9119464893927844	3.3600911122777797	3.1542643456841084	2.985530031274556	3.0031299804235325	2.9418449375315827	3.0021717607936926	3.1893585508769613	3.193202533549796	2.827167402349966
ENSG00000143947	3.398215828874764	3.4651260501269845	3.4707756314593	3.3746104657651768	3.360152818312967	3.1942475376942854	3.2680364739989205	2.864119637118169	3.4320939562345	3.2412550869100096	3.256190686482147	3.4902778375611687
ENSG00000214182	3.026162828072709	3.3397684438945037	3.3512445010723018	3.1124255010547857	3.080141315524916	3.1047327729669987	3.2039679414615314	3.013962277241641	3.2400612238024893	2.97205856806871	3.256190686482147	3.274728477011557
ENSG00000112306	3.2293933721603025	3.4250611899544143	3.2581662173433354	3.3746104657651768	3.416673782807598	3.5385470115944844	3.4387727181281096	3.1442504167167367	3.3480163800658485	3.35279954667594	3.5225676681363454	3.1268625299428385
ENSG00000145592	3.5426114941006817	3.687251654206388	3.4819790002725934	3.3304042429605056	3.2878202070839304	3.2443465033727112	3.1530702556929637	3.1442504167167367	3.4454444516364324	3.35279954667594	3.3154453373927053	3.308514561277786
ENSG00000244398	3.0008045709488727	3.4519486496968588	3.3512445010723018	3.3304042429605056	3.3484549041044085	3.00641023196012	3.2039679414615314	3.2035365179789546	3.0623044523171936	3.2579722094989503	3.5682768531571734	3.3571452485311646
ENSG00000174748	3.0508939151555654	3.1615595901617013	3.376321103632752	3.4575597782297782	3.2098447780044137	3.2605035097703694	3.4897687327216778	2.864119637118169	3.2877614561614688	3.274414458696368	3.3009575794615262	3.3411963541300724
ENSG00000198363	3.668763664726192	3.397430772480172	3.2991220940210724	3.3746104657651768	3.416673782807598	3.4759436510752724	3.3427487874017037	3.3950358081491343	3.2721128355353284	3.2905907277516495	2.93501482564717	3.106741774537804
ENSG00000136942	3.0750281077322423	3.3544987238192165	3.41279496544952	3.218956670513696	3.2752392567819144	3.1942475376942854	3.4256067510664825	3.1442504167167367	3.3332895927724304	3.076712086555426	3.20932541403636	3.403520263078295
ENSG00000204628	3.6947604235978653	3.309640511090268	3.155526827143221	3.444203951372165	3.4056222735960686	3.526335953082282	3.3711378089823483	3.555690822092034	3.5816169168263445	3.3065094851779486	3.2408116828773545	3.4763309213186653
ENSG00000256618	3.4809938416330906	3.7677872842933238	3.7011937120627545	3.639052244060714	3.676533353105429	3.663861496206856	3.7314957230696137	3.7172981405064487	3.5816169168263445	3.7666715796475767	3.653867692665397	3.7128627965135688
ENSG00000224631	3.3630856730227805	3.369015168637892	3.493058242959969	3.3304042429605056	3.4384170075488494	3.2279241551223232	3.3282462164747084	3.059304144774305	3.2721128355353284	3.5191103409909585	3.4623266324899395	3.433283656227895
ENSG00000143933	3.5864544523813366	3.0687089377266483	2.987798134777312	3.430667329006142	3.1104529579456317	3.366834801308088	3.187288239616572	3.259503629813543	3.534217318471437	3.274414458696368	3.3009575794615262	3.2917641997948768
